CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
15,9,26323,1.17,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
15,21,43837,1.95,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
15,22,403050,17.91,1,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
15,22,241131,10.72,1,,1,11,FORZA ITALIA,3-20220925000000-11.png
15,22,92317,4.10,1,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
15,22,12889,0.57,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
15,25,784594,34.87,4,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
15,27,353793,15.72,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
15,27,60172,2.67,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
15,27,48351,2.15,0,,2,18,+EUROPA,3-20220925000000-18.png
15,27,33779,1.50,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
15,34,31643,1.41,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
16,1,84018,4.84,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
16,4,7574,0.44,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
16,8,15206,0.88,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
16,13,4823,0.28,0,,0,6,VITA,3-20220925000000-6.png
16,16,2332,0.13,0,,0,12,SUD CHIAMA NORD,3-20220925000000-12.png
16,21,17258,0.99,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
16,22,425125,24.47,5,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
16,22,191105,11.00,5,,1,11,FORZA ITALIA,3-20220925000000-11.png
16,22,91978,5.29,5,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
16,22,11211,0.65,5,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
16,25,491358,28.28,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
16,27,278934,16.05,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
16,27,48316,2.78,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
16,27,30178,1.74,0,,2,18,+EUROPA,3-20220925000000-18.png
16,27,11812,0.68,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
16,28,3826,0.22,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
16,34,22352,1.29,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
17,1,30006,12.27,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
17,4,2290,0.94,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
17,8,2855,1.17,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
